fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
164,0.16448,3,1,31,0.56534,5.587,0.168,0,2,0,1,0,0
165,0.45245,3,1,31,1.28665,6.586,0.803,1,1,0,1,0,0
167,0.42374,3,1,31,1.08364,7.446,0.059,0,1,0,1,0,0
168,0.22307,3,2,32,0.35704,4.174,0.087,0,3,1,1,1,0
169,0.34049,3,2,32,3.04847,7.575,4.418,0,2,0,1,0,0
170,0.28605,3,1,31,1.29607,6.113,0.995,1,2,0,1,0,0
171,0.17554,3,1,31,0.2778,7.317,0.32,0,2,0,1,0,0
172,0.25919,3,1,31,1.60723,4.491,0.385,0,1,0,1,1,0
173,0.69279,1,2,12,2.69262,7.845,0.981,0,2,1,1,1,0
174,0.06152,1,2,12,2.16552,9.16,0.18,0,2,1,1,1,0
175,0.14922,3,1,31,1.64962,1.879,0.07,0,2,1,1,1,0
176,3.19639,1,2,12,25.15027,22.086,2.761,1,1,0,1,0,0
180,0.23264,2,1,21,0.82877,1.814,0.187,0,2,1,1,1,0
182,0.79671,3,2,32,4.88359,8.875,1.775,0,2,1,1,1,0
185,0.25949,1,3,13,5.90697,7.979,1.544,0,3,1,1,0,0
186,0.70219,1,2,12,3.51628,18.307,0.291,0,3,1,1,0,0
187,0.19560,2,1,21,0.2612,0,0.073,0,1,0,1,0,0
188,0.88064,1,1,11,0.81783,6.844,0.033,0,2,1,1,0,0
189,0.95933,1,2,12,6.12638,28.942,0,0,2,1,1,0,0
190,0.64589,1,2,12,2.37492,10.453,0.621,0,2,1,1,0,0
191,0.54730,1,2,12,5.37644,21.416,0.466,0,2,1,1,0,0
192,0.59378,1,2,12,3.09564,24.526,2.114,0,3,1,1,0,0
193,0.05172,3,1,31,0.38766,0.23,0.077,1,2,0,1,0,1
194,1.12804,1,2,12,7.93256,26.221,0,1,1,1,1,0,0
195,0.08866,2,1,21,0.16353,0,0.034,0,1,0,1,0,0
196,0.35811,2,1,21,0.92897,0,0.171,1,1,0,1,0,0
197,0.37733,2,1,21,0.51602,0,0,1,1,0,1,0,0
199,0.10537,2,1,21,0.16312,0.014,0.083,0,1,1,1,0,0
200,0.31527,1,1,11,0.21774,0.059,0.048,0,2,1,1,1,0
202,0.24143,1,2,12,1.16305,0,0.071,0,2,1,1,1,0
203,0.23644,2,1,21,0.60677,0,0.078,0,1,0,1,0,0
204,0.40254,1,1,11,0.32086,1.056,0.097,0,2,1,1,1,0
205,0.36755,1,2,12,1.36982,2.573,0.546,0,2,1,1,1,0
206,0.27730,1,1,11,1.55056,0,0.226,1,2,0,1,0,0
207,0.26162,1,1,11,1.66672,0,0,1,1,0,1,0,0
208,0.53574,2,2,22,3.20889,11.102,1.566,0,2,1,1,0,0
209,0.29733,1,1,11,0.91664,0,0,1,1,0,1,0,0
211,0.48558,1,1,11,4.16889,8.263,2.066,1,2,0,1,0,0
212,0.34571,1,1,11,1.40568,1.223,0.082,1,1,0,1,0,0
213,0.13464,1,1,11,4.40543,13.162,1.316,1,2,0,1,0,0
214,5.18689,1,1,11,20.87709,74.384,4.21,1,2,0,1,0,0
215,0.13813,1,2,12,1.55618,3.417,0.488,0,2,1,1,0,0
216,0.12653,1,3,13,0.71714,02.03,0.14,0,3,0,1,0,0
217,0.48154,1,3,13,15.82264,0,0,1,2,1,1,0,0
218,0.22851,1,2,12,1.59469,5.92,0.087,0,2,0,1,1,0
219,1.65688,1,1,11,42.80984,133.581,0,1,2,0,1,1,0
220,0.82283,1,1,11,8.36937,19.998,0,1,2,0,1,1,0
221,0.21985,1,2,12,1.17646,7.466,0.075,0,2,0,1,1,0
222,0.56639,1,1,11,10.34119,24.191,0,1,2,0,1,1,0
223,0.06942,1,2,12,0.70896,0.041,0.041,0,2,1,1,1,0
224,0.16041,1,1,11,0.81532,3.49,0.376,0,2,1,1,0,0
225,0.97112,1,1,11,3.98695,5.927,2.195,0,2,1,1,0,0
226,0.29147,1,2,12,0.72847,1.856,0.305,0,2,1,1,0,0
227,0.33466,1,1,11,2.10863,4.482,0.121,0,2,1,1,0,0
228,0.67410,1,2,12,6.61825,2.043,0,0,2,1,1,0,0
229,0.41236,1,1,11,0.91145,0.64,0,0,3,1,1,0,0
230,0.23073,1,1,11,0.37872,1.579,0.084,0,3,1,1,0,0
231,0.48678,1,1,11,14.30894,46.526,0.912,1,2,0,1,0,0
233,0.73383,1,2,12,9.93915,0,4.28,0,2,1,1,1,0
234,0.19884,1,2,12,2.13619,0,0.444,0,2,1,1,1,0
